doi,doi_url,repository_url,is_open_access,authors_count,authors_affiliation_count,authors_familyname_count,authors_givennames_count,authors_gnd_count,authors_name_count,authors_orcid_count,has_funding_info,has_journal,keywords_freetext_count,keywords_controlled_vocabularies_count,has_language,has_license,license_name,has_conference_acronym,has_conference_dates,has_conference_place,has_conference_session,has_conference_session_part,has_conference_title,has_conference_website,has_creation_date,creation_date,has_other_dates,other_dates,references_no_identifiers_count,references_with_identifiers_count,has_title,has_version,files
10.5281/zenodo.7272143,https://doi.org/10.5281/zenodo.7272143,https://zenodo.org/records/7272143,True,6,0,0,0,0,6,3,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-11-01T19:17:53.507181+00:00,False,NA,0,0,True,False,FOLDER EXPLICATIVO 3 - DIREITOS DOS USUÁRIOS DO SUS - Verônica Bessa - 18-10-2022.pdf
10.5281/zenodo.7272130,https://doi.org/10.5281/zenodo.7272130,https://zenodo.org/records/7272130,True,6,0,0,0,0,6,3,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-11-01T19:12:37.886960+00:00,False,NA,0,0,True,False,FOLDER EXPLICATIVO 2 - DIREITOS E DEVERES DOS USUÁRIOS DO SUS - Verônica Bessa - 18-10-2022-1.pdf
10.5281/zenodo.7272090,https://doi.org/10.5281/zenodo.7272090,https://zenodo.org/records/7272090,True,6,0,0,0,0,6,3,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-11-01T19:04:17.249509+00:00,False,NA,0,0,True,False,FOLDER EXPLICATIVO 1 - TODOS USAMOS O SUS - Verônica Bessa - 18-10-2022.pdf
10.5281/zenodo.7271712,https://doi.org/10.5281/zenodo.7271712,https://zenodo.org/records/7271712,True,6,6,0,0,0,6,5,False,False,0,0,True,True,cc-by-4.0,True,True,True,False,False,True,True,True,2022-11-01T15:39:45.872863+00:00,False,NA,0,0,True,False,SIICUSP_Presentation_2022_RCI.pdf; SIICUSP_Resumo_EN_RCI.pdf; SIICUSP_Poster_2022_RCI.pdf
10.5281/zenodo.7271686,https://doi.org/10.5281/zenodo.7271686,https://zenodo.org/records/7271686,True,3,3,0,0,0,3,2,False,False,0,1,True,True,cc-by-4.0,True,True,True,False,False,True,True,True,2022-11-01T15:20:04.932802+00:00,False,NA,0,1,True,False,SIICUSP_poster_2022_IM.pdf
10.5281/zenodo.7269188,https://doi.org/10.5281/zenodo.7269188,https://zenodo.org/records/7269188,True,1,1,0,0,0,1,0,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-11-01T14:26:44.497377+00:00,False,NA,0,0,True,False,Poster EMPLAC 2022. Jarrizon Quevedo.pptx
10.5281/zenodo.7270554,https://doi.org/10.5281/zenodo.7270554,https://zenodo.org/records/7270554,True,3,3,0,0,0,3,1,True,False,0,0,True,True,cc-by-4.0,True,True,True,True,False,True,True,True,2022-11-01T11:11:59.763978+00:00,False,NA,0,0,True,False,poster_bemiplant_ana_sofia.pdf
10.5281/zenodo.7270818,https://doi.org/10.5281/zenodo.7270818,https://zenodo.org/records/7270818,True,3,3,0,0,0,3,1,True,False,0,0,True,True,cc-by-4.0,True,True,True,True,False,True,True,True,2022-11-01T11:11:29.173184+00:00,False,NA,0,0,True,False,poster_ines_bemiplant_final.pdf
10.5281/zenodo.7270915,https://doi.org/10.5281/zenodo.7270915,https://zenodo.org/records/7270915,True,6,6,0,0,0,6,1,True,False,0,0,True,True,cc-by-4.0,True,True,True,True,False,True,True,True,2022-11-01T11:05:32.009864+00:00,False,NA,0,0,True,False,poster_bemiplant_juan_ignacio.pdf
10.5281/zenodo.7267687,https://doi.org/10.5281/zenodo.7267687,https://zenodo.org/records/7267687,True,6,6,0,0,0,6,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T16:23:39.601270+00:00,False,NA,0,0,True,False,Poster - Avaliação sobreiros_ing.pdf
10.5281/zenodo.7268140,https://doi.org/10.5281/zenodo.7268140,https://zenodo.org/records/7268140,True,2,2,0,0,0,2,2,False,False,0,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T15:51:04.927910+00:00,False,NA,0,0,True,False,Poster Ciencia Abierta.pdf
10.5281/zenodo.7267868,https://doi.org/10.5281/zenodo.7267868,https://zenodo.org/records/7267868,True,2,2,0,0,0,2,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T14:33:35.609291+00:00,False,NA,0,0,True,False,Poster-SEFIN-Branco-2022.pptx
10.5281/zenodo.7267870,https://doi.org/10.5281/zenodo.7267870,https://zenodo.org/records/7267870,True,1,0,0,0,0,1,0,False,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T14:29:09.678355+00:00,False,NA,0,0,True,False,2023 OAC U of Guelph Grad Studies Viewbook.pdf
10.5281/zenodo.7267646,https://doi.org/10.5281/zenodo.7267646,https://zenodo.org/records/7267646,True,6,5,0,0,0,6,5,True,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T13:19:47.912711+00:00,False,NA,0,0,True,False,Agnes Marco_DSCTM2022_Abstract.pdf
10.5281/zenodo.7267318,https://doi.org/10.5281/zenodo.7267318,https://zenodo.org/records/7267318,True,7,7,0,0,0,7,0,True,False,0,0,False,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T11:49:07.323753+00:00,False,NA,0,0,True,False,UNITO poster_WP3_CUSP NEWSLETTER.pptx
10.5281/zenodo.7265873,https://doi.org/10.5281/zenodo.7265873,https://zenodo.org/records/7265873,True,4,4,0,0,0,4,2,False,False,2,0,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-31T01:33:31.830616+00:00,False,NA,2,0,True,True,Poster Ciencia Abierta.pdf
10.5281/zenodo.7265084,https://doi.org/10.5281/zenodo.7265084,https://zenodo.org/records/7265084,True,4,4,0,0,0,4,4,False,False,0,1,True,True,cc-by-4.0,False,False,False,False,False,False,False,True,2022-10-30T13:44:50.211912+00:00,False,NA,0,1,True,False,IKT_Poster.pdf
10.5281/zenodo.7265072,https://doi.org/10.5281/zenodo.7265072,https://zenodo.org/records/7265072,True,4,4,0,0,0,4,2,False,False,4,0,True,True,cc-by-4.0,False,True,True,True,True,True,True,True,2022-10-30T13:38:58.861044+00:00,False,NA,4,0,True,False,poster_AGRO.pdf
